University Name,Name,Subject,Publications,Avg Co-Author
Carnegie Mellon University ,Ioannis Gkioulekas,"graphics,vision",9,2.4
Carnegie Mellon University ,Illah R. Nourbakhsh,ai,9,3.9
Carnegie Mellon University ,Kemal Oflazer,nlp,9,2.9
Carnegie Mellon University ,Emma Strubell,nlp,9,2.3
Carnegie Mellon University ,Tai Sing Lee,ml,8,2.6
Carnegie Mellon University ,Tai Sing Lee,ml,8,2.6
Carnegie Mellon University ,Tianqi Chen,ml,7,1.7
Carnegie Mellon University ,Nicolas Christin,security,7,2.4
Carnegie Mellon University ,Nicolas Christin,security,7,2.4
Carnegie Mellon University ,Kathleen M. Carley,nlp,6,2.7
Carnegie Mellon University ,Seyoung Kim,ml,5,2.3
Carnegie Mellon University ,Lujo Bauer,"hci,security",4,0.8
Carnegie Mellon University ,Lujo Bauer,"hci,security",4,0.8
Carnegie Mellon University ,Justine,Cassell,4,1.1
Carnegie Mellon University ,Howie Choset,robotics,4,1.2
Carnegie Mellon University ,Howie Choset,robotics,4,1.2
Carnegie Mellon University ,William Whittaker,robotics,4,0.9
Carnegie Mellon University ,Anupam Gupta 0001,theory,3,0.8
Carnegie Mellon University ,Jian Ma 0004 comp.,"bio,ml",3,0.9
Carnegie Mellon University ,David G. Andersen,"networks,db",3,0.7
Carnegie Mellon University ,David G. Andersen,"networks,db",3,0.7
Carnegie Mellon University ,David G. Andersen,"networks,db",3,0.7
Carnegie Mellon University ,Christopher G. Atkeson,robotics,3,1.5
Carnegie Mellon University ,Ziv Bar-Joseph comp.,bio,3,1.2
Carnegie Mellon University ,Vincent J. Hellendoorn,"se,ml",3,0.6
Carnegie Mellon University ,Vincent J. Hellendoorn,"se,ml",3,0.6
Carnegie Mellon University ,Vyas Sekar,networks,3,0.7
Carnegie Mellon University ,Henny Admoni,robotics,2,0.5
Carnegie Mellon University ,Lorrie Faith Cranor,"hci,security",2,0.4
Carnegie Mellon University ,Lorrie Faith Cranor,"hci,security",2,0.4
Carnegie Mellon University ,Lorrie Faith Cranor,"hci,security",2,0.4
Carnegie Mellon University ,Pravesh Kothari,theory,2,0.7
Carnegie Mellon University ,Diana Marculescu,eda,2,0.5
Carnegie Mellon University ,Gary L. Miller,theory,2,0.8
Carnegie Mellon University ,Ronald Rosenfeld,hci,2,0.5
Carnegie Mellon University ,Virgil D. Gligor,security,1,0.2
Carnegie Mellon University ,Virgil D. Gligor,security,1,0.2
Carnegie Mellon University ,Venkatesan Guruswami,theory,1,0.2
Carnegie Mellon University ,James D. Herbsleb,se,1,0.2
Carnegie Mellon University ,Alonzo Kelly,robotics,1,0.2
Carnegie Mellon University ,Radu Marculescu,eda,1,0.3
Carnegie Mellon University ,Yong-Lae Park,robotics,1,0.2
Carnegie Mellon University ,Bryan Parno,security,1,0.2
Carnegie Mellon University ,Bryan Parno,security,1,0.2
Carnegie Mellon University ,K. V. Rashmi,"os,networks",1,0.2
Carnegie Mellon University ,Elaine Shi,security,1,0.2
Carnegie Mellon University ,Elaine Shi,security,1,0.2
Carnegie Mellon University ,Elaine Shi,security,1,0.2
Carnegie Mellon University ,Bogdan Vasilescu,se,1,0.2
Tsinghua University ,Jun Zhu 0001,ml,149,39.9
Tsinghua University ,Maosong Sun,nlp,135,28.6
Tsinghua University ,Zhiyuan Liu 0001,nlp,123,23.4
Tsinghua University ,Minlie Huang,nlp,82,19.7
Tsinghua University ,Jianmin Wang 0001,"vision,ml,ai",72,17.2
Tsinghua University ,Jianmin Wang 0001,"vision,ml,ai",72,17.2
Tsinghua University ,Jianmin Wang 0001,"vision,ml,ai",72,17.2
Tsinghua University ,Changshui Zhang,"ml,vision",71,19.4
Tsinghua University ,Changshui Zhang,"ml,vision",71,19.4
Tsinghua University ,Mingsheng Long,"ml,vision",70,16.3
Tsinghua University ,Mingsheng Long,"ml,vision",70,16.3
Tsinghua University ,Guiguang Ding,ai,64,13.4
Tsinghua University ,Jie Tang 0001,ai,62,12.8
Tsinghua University ,Yang Liu 0005,"nlp,ai",62,15.4
Tsinghua University ,Yang Liu 0005,"nlp,ai",62,15.4
Tsinghua University ,Bo Zhang 0010,ml,53,12.5
Tsinghua University ,Juan-Zi Li,nlp,50,8.7
Tsinghua University ,Wenwu Zhu 0001,"ai,ml",42,9.6
Tsinghua University ,Wenwu Zhu 0001,"ai,ml",42,9.6
Tsinghua University ,Xiaoyan Zhu 0001,"nlp,ai",42,9.4
Tsinghua University ,Xiaoyan Zhu 0001,"nlp,ai",42,9.4
Tsinghua University ,Chongjie Zhang,ml,39,9.4
Tsinghua University ,Peng Cui 0001,ai,38,7.4
Tsinghua University ,Yue Gao 0002,ai,36,7.2
Tsinghua University ,Pingzhong Tang,ai,33,10.1
Tsinghua University ,Hai Wan,ai,32,6.3
Tsinghua University ,Fuchun Sun 0001,robotics,28,5.3
Tsinghua University ,Xin Wang 0019,ml,24,4.8
Tsinghua University ,Longbo Huang,"ml,ai",24,7.2
Tsinghua University ,Longbo Huang,"ml,ai",24,7.2
Tsinghua University ,Xiaolin Hu 0001,vision,20,4.2
Tsinghua University ,Yu-Shen Liu,vision,20,4.6
Tsinghua University ,Jian Li 0015,ml,18,4.9
Tsinghua University ,Yong-Jin Liu,vision,16,3.5
Tsinghua University ,Xiaoming Jin,ai,15,3.8
Tsinghua University ,Xibin Zhao,ai,15,2.8
Tsinghua University ,Jia Jia 0001,ai,14,2.2
Tsinghua University ,Haizhou Ai,vision,14,4.1
Tsinghua University ,Haizhou Ai,vision,14,4.1
Tsinghua University ,Xiu Li,vision,13,2.6
Tsinghua University ,Huaping Liu 0001,robotics,12,2.3
Tsinghua University ,Feng Xu 0005,"vision,graphics",12,2.1
Tsinghua University ,Shiqiang Yang,"ai,vision",12,2.3
Tsinghua University ,Shiqiang Yang,"ai,vision",12,2.3
Tsinghua University ,Zheng Qin 0003,"web+ir,ai",11,3.4
Tsinghua University ,Jianyong Wang 0001,"ai,web+ir",10,2.8
Tsinghua University ,Chaokun Wang,ai,10,2.9
Tsinghua University ,Lijie Wen,nlp,9,1.6
Tsinghua University ,Jianmin Li 0001,"vision,ai",8,1.6
Tsinghua University ,Jianmin Li 0001,"vision,ai",8,1.6
Tsinghua University ,Ji Wu 0002,"ai,nlp",7,1.8
Tsinghua University ,Ji Wu 0002,"ai,nlp",7,1.8
Tsinghua University ,Zhidong Deng,"vision,ai",7,1.8
Tsinghua University ,Zhidong Deng,"vision,ai",7,1.8
Tsinghua University ,Hongliang Yu,"ai,nlp",6,1.8
Tsinghua University ,Hongliang Yu,"ai,nlp",6,1.8
Tsinghua University ,Song-Hai Zhang,vision,6,1.1
Tsinghua University ,Song-Hai Zhang,vision,6,1.1
Tsinghua University ,Jun-Hai Yong,"graphics,ai,vision",5,1.2
Tsinghua University ,Jun-Hai Yong,"graphics,ai,vision",5,1.2
Tsinghua University ,Bin Xu 0001,nlp,4,0.5
Tsinghua University ,Jia-Guang Sun 0001,"se,vision,embedded",4,0.7
Tsinghua University ,Jia-Guang Sun 0001,"se,vision,embedded",4,0.7
Tsinghua University ,Qiang Zhou 0001,"vision,eda",4,0.6
Tsinghua University ,Qiang Zhou 0001,"vision,eda",4,0.6
Tsinghua University ,Yangdong Deng,"arch,ai",4,0.7
Tsinghua University ,Dan Pei,se,4,0.4
Tsinghua University ,Jiangtao Wen,vision,4,1.0
Tsinghua University ,Xiaojun Ye,ai,4,0.8
Tsinghua University ,Wei Xu 0005,ai,3,0.7
Tsinghua University ,Guoliang Li 0001,db,2,0.5
Tsinghua University ,Dongsheng Wang 0002,eda,2,0.5
Tsinghua University ,Jin Huang 0002,ai,2,0.3
Tsinghua University ,Qi Li 0002,security,2,0.3
Tsinghua University ,Qi Li 0002,security,2,0.3
Tsinghua University ,Hai-Xin Duan,security,2,0.3
Tsinghua University ,Hai-Xin Duan,security,2,0.3
Tsinghua University ,Hai-Xin Duan,security,2,0.3
Tsinghua University ,Jianhua Feng,db,2,0.5
Tsinghua University ,Hongbo Li,"hpc,ai",2,0.5
Tsinghua University ,Guiming Luo,vision,2,0.3
Tsinghua University ,Kaihuai Qin,vision,2,0.5
Tsinghua University ,Kaihuai Qin,vision,2,0.5
Tsinghua University ,Linmi Tao,vision,2,0.6
Tsinghua University ,Jianping Wu,"metrics,security",2,0.4
Tsinghua University ,Jianping Wu,"metrics,security",2,0.4
Tsinghua University ,Wenjian Yu,"eda,ai",2,0.3
Tsinghua University ,Wenjian Yu,"eda,ai",2,0.3
Tsinghua University ,Xiaoping Zhang,vision,2,0.4
Tsinghua University ,Dan Li 0001,networks,1,0.1
Tsinghua University ,Jihong Zhu 0001,robotics,1,0.3
Tsinghua University ,Zhenhua Li 0001,"mobile,networks,metrics",1,0.1
Tsinghua University ,Chao Zhang 0008,security,1,0.1
Tsinghua University ,Chao Zhang 0008,security,1,0.1
Tsinghua University ,Yici Cai,eda,1,0.2
Tsinghua University ,Yici Cai,eda,1,0.2
Tsinghua University ,Yuanjie Li,"networks,mobile",1,0.3
Tsinghua University ,Mingwei Xu,"networks,security",1,0.1
Tsinghua University ,Mingwei Xu,"networks,security",1,0.1
Tsinghua University ,Mingwei Xu,"networks,security",1,0.1
Tsinghua University ,Jidong Zhai,"hpc,arch",1,0.1
Tsinghua University ,Youhui Zhang,"arch,eda",1,0.2
Peking University ,Song-Chun Zhu,vision,169,46.0
Peking University ,Xiaojun Wan 0001,nlp,96,38.7
Peking University ,Zhouchen Lin,"ml,vision,ai",95,23.1
Peking University ,Zhouchen Lin,"ml,vision,ai",95,23.1
Peking University ,Zhouchen Lin,"ml,vision,ai",95,23.1
Peking University ,Dongyan Zhao 0001,"nlp,ai",82,15.6
Peking University ,Dongyan Zhao 0001,"nlp,ai",82,15.6
Peking University ,Xu Sun 0001,nlp,82,18.0
Peking University ,Boxin Shi,vision,69,12.8
Peking University ,Wen Gao 0001,"vision,ai",63,12.6
Peking University ,Wen Gao 0001,"vision,ai",63,12.6
Peking University ,Liwei Wang 0001,ml,62,13.4
Peking University ,Baobao Chang,nlp,56,12.6
Peking University ,Yizhou Wang 0001,vision,55,13.6
Peking University ,Chao Xu 0006,"ai,vision",50,9.1
Peking University ,Chao Xu 0006,"ai,vision",50,9.1
Peking University ,Yansong Feng,nlp,49,11.7
Peking University ,Sujian Li,nlp,47,10.3
Peking University ,Tiejun Huang 0001,vision,44,8.4
Peking University ,Yisen Wang 0001,ml,44,9.1
Peking University ,Yisen Wang 0001,ml,44,9.1
Peking University ,Zhifang Sui,nlp,44,8.5
Peking University ,Houfeng Wang,nlp,39,10.5
Peking University ,Hongbin Zha,"vision,robotics",37,9.1
Peking University ,Hongbin Zha,"vision,robotics",37,9.1
Peking University ,Ling-Yu Duan,vision,32,6.1
Peking University ,Yadong Mu,"vision,ai",32,9.4
Peking University ,Yadong Mu,"vision,ai",32,9.4
Peking University ,Jiaying Liu 0001,"vision,ai",31,6.8
Peking University ,Jiaying Liu 0001,"vision,ai",31,6.8
Peking University ,Ming Zhang 0004,ai,31,6.3
Peking University ,Yuxin Peng,ai,30,12.2
Peking University ,Jianguo Xiao,"ai,nlp",29,9.3
Peking University ,Jianguo Xiao,"ai,nlp",29,9.3
Peking University ,Guojie Song,ai,25,5.5
Peking University ,Zhi-Hong Deng,ai,22,6.5
Peking University ,Gang Zeng,vision,21,4.8
Peking University ,Yunhai Tong,"vision,ai",18,2.7
Peking University ,Yunhai Tong,"vision,ai",18,2.7
Peking University ,Shiliang Zhang,vision,17,5.4
Peking University ,Bin Cui 0001,db,16,3.0
Peking University ,He Wang 0010,vision,15,2.3
Peking University ,Heng Wang,vision,15,3.6
Peking University ,Zhouhui Lian,vision,14,3.6
Peking University ,Ge Li 0001,"nlp,ai",13,2.2
Peking University ,Ge Li 0001,"nlp,ai",13,2.2
Peking University ,Yasha Wang,"ai,hci",13,2.3
Peking University ,Yunfang Wu,"ai,nlp",13,3.6
Peking University ,Yunfang Wu,"ai,nlp",13,3.6
Peking University ,Xiaotie Deng,ai,12,2.8
Peking University ,Zhi Jin,nlp,12,2.2
Peking University ,Chao Zhang 0001,"vision,ml",11,2.5
Peking University ,Chao Zhang 0001,"vision,ml",11,2.5
Peking University ,Wei Ye 0004,"nlp,ai",11,1.8
Peking University ,Wei Ye 0004,"nlp,ai",11,1.8
Peking University ,Yan Zhang 0004,nlp,11,2.4
Peking University ,Zongqing Lu,ml,11,4.3
Peking University ,Siwei Ma,vision,11,2.1
Peking University ,Zhi Tang,ai,11,2.0
Peking University ,Lu Zhang 0023,se,10,1.6
Peking University ,Zongming Guo,vision,10,2.2
Peking University ,Tingting Jiang,vision,10,3.0
Peking University ,Tao Xie 0001,se,9,2.0
Peking University ,Zhi Yang 0001,"db,ml",8,1.4
Peking University ,Zhi Yang 0001,"db,ml",8,1.4
Peking University ,Kaigui Bian,ai,8,1.4
Peking University ,Ruiqin Xiong,"vision,ai",8,1.6
Peking University ,Ruiqin Xiong,"vision,ai",8,1.6
Peking University ,Xianghua Ying,vision,8,2.5
Peking University ,Yao Guo 0001,"web+ir,hci,se",7,1.5
Peking University ,Guangyu Sun 0003,eda,7,1.2
Peking University ,Liangcai Gao,"web+ir,ml",7,1.8
Peking University ,Liangcai Gao,"web+ir,ml",7,1.8
Peking University ,Yongtao Wang,"ai,vision",7,1.1
Peking University ,Yongtao Wang,"ai,vision",7,1.1
Peking University ,Huijing Zhao,robotics,7,1.6
Peking University ,Yingfei Xiong 0001,se,6,1.0
Peking University ,Hongyan Li 0002,ai,6,1.0
Peking University ,Hao Dong 0003,"vision,ml",6,1.1
Peking University ,Hao Dong 0003,"vision,ml",6,1.1
Peking University ,Tengjiao Wang 0003,ai,6,1.3
Peking University ,Jinshi Cui,"robotics,vision",6,1.5
Peking University ,Jinshi Cui,"robotics,vision",6,1.5
Peking University ,Yuqing Kong,"ecom,ai",6,1.2
Peking University ,Zhen Xiao,ai,6,1.4
Peking University ,Hongfei Yan,nlp,6,1.2
Peking University ,Shaofeng H.-C. Jiang,"theory,ml",5,1.2
Peking University ,Shaofeng H.-C. Jiang,"theory,ml",5,1.2
Peking University ,Tongyang Li,"ml,ai",5,1.5
Peking University ,Tongyang Li,"ml,ai",5,1.5
Peking University ,Guoping Wang,"vision,graphics",5,0.9
Peking University ,Lei Zou 0001,db,4,1.0
Peking University ,Wei Chen 0021,ai,4,0.7
Peking University ,Xiangqun Chen,"hci,web+ir,se",4,1.0
Peking University ,Yisong Chen,vision,4,0.8
Peking University ,Zhihong Liu,"ai,vision",4,0.6
Peking University ,Zhihong Liu,"ai,vision",4,0.6
Peking University ,Yingmin Tang,"ai,vision",4,1.0
Peking University ,Yingmin Tang,"ai,vision",4,1.0
Peking University ,Kunqing Xie,ai,4,1.0
Peking University ,Chun Yang,vision,4,0.8
Peking University ,Xiaoming Li 0001,db,3,0.6
Peking University ,Yun Liang 0001,eda,3,0.5
Peking University ,Jun Gao 0003,"web+ir,db",3,0.5
Peking University ,Xin Zhang 0035,"pl,se",3,0.7
Peking University ,Hong Mei,se,3,0.5
Peking University ,Bin Sun,nlp,3,0.6
Peking University ,Shaohua Tan,vision,3,0.4
Peking University ,Junfeng Zhao 0001,ai,2,0.3
Peking University ,Wei Hu 0003,vision,2,0.5
Peking University ,Yongzhi Cao,ai,2,0.4
Peking University ,Huizhu Jia,ai,2,0.4
Peking University ,Tong Lin,ml,2,0.8
Peking University ,Xiuli Ma,ai,2,1.0
Peking University ,Hanpin Wang,ai,2,0.4
Peking University ,Bing Xie,"hpc,se",2,0.3
Peking University ,Ding Li 0001,"security,se",1,0.1
Peking University ,Ding Li 0001,"security,se",1,0.1
Peking University ,Gang Huang 0001,"se,mobile",1,0.1
Peking University ,Tong Yang 0003,db,1,0.1
Peking University ,Xin Jin 0008,networks,1,0.3
Peking University ,Yibo Lin,eda,1,0.3
Cornell University ,Kilian Q. Weinberger,ml,73,17.0
Cornell University ,Claire Cardie,nlp,72,26.4
Cornell University ,Claire Cardie,nlp,72,26.4
Cornell University ,Carla P. Gomes,ai,70,18.4
Cornell University ,Noah Snavely [Tech],vision,70,18.9
Cornell University ,Alexander M. Rush [Tech],nlp,52,16.6
Cornell University ,Bharath Hariharan,vision,48,12.4
Cornell University ,Thorsten Joachims,"ml,web+ir",46,18.7
Cornell University ,Fei Wang 0001,ai,37,9.3
Cornell University ,Bart Selman,"ai,ml",37,9.9
Cornell University ,Bart Selman,"ai,ml",37,9.9
Cornell University ,Lillian Lee,nlp,34,13.7
Cornell University ,Christopher De Sa,ml,32,10.0
Cornell University ,Daniel D. Lee [Tech],robotics,31,11.0
Cornell University ,Cristian Danescu-Niculescu-Mizil,nlp,28,8.8
Cornell University ,Karthik Sridharan,ml,27,8.2
Cornell University ,Yoav Artzi [Tech],nlp,26,7.2
Cornell University ,Nathan Kallus [Tech],ml,25,12.3
Cornell University ,Ramin Zabih [Tech],vision,25,7.8
Cornell University ,Joseph Y. Halpern,ai,23,12.2
Cornell University ,Joseph Y. Halpern,ai,23,12.2
Cornell University ,David M. Mimno,"nlp,ml",23,7.5
Cornell University ,David M. Mimno,"nlp,ml",23,7.5
Cornell University ,Jayadev Acharya,ml,19,5.4
Cornell University ,Austin R. Benson,"ml,web+ir",19,6.5
Cornell University ,Wen Sun 0002,ml,14,3.5
Cornell University ,Kavita Bala,"vision,graphics",14,3.3
Cornell University ,John E. Hopcroft,ml,14,3.4
Cornell University ,Madeleine Udell,ml,13,4.2
Cornell University ,David Bindel,ml,11,3.0
Cornell University ,Robert D. Kleinberg,"theory,ecom",10,3.6
Cornell University ,Volodymyr Kuleshov [Tech],ml,10,4.2
Cornell University ,Martha E. Pollack,ai,8,3.4
Cornell University ,Marten van Schijndel,nlp,8,3.8
Cornell University ,Zhiru Zhang,eda,8,1.7
Cornell University ,Vitaly Shmatikov [Tech],security,6,2.2
Cornell University ,Vitaly Shmatikov [Tech],security,6,2.2
Cornell University ,Haym Hirsh,"ai,ml",5,1.7
Cornell University ,Haym Hirsh,"ai,ml",5,1.7
Cornell University ,Abe Davis,"graphics,vision",4,0.9
Cornell University ,Rafael Pass [Tech],"crypto,theory",4,1.8
Cornell University ,G. Edward Suh,"arch,eda",3,0.6
Cornell University ,Anil Damle,ml,2,0.5
Cornell University ,Lorenzo Alvisi,"networks,os",1,0.3
Cornell University ,Guy Hoffman,"robotics,hci",1,0.5
Cornell University ,Helen Nissenbaum,[Tech],1,0.1
Cornell University ,Immanuel Trummer,db,1,0.3
Univ. of Illinois at Urbana-Champaign ,Jiawei Han 0001,"nlp,web+ir",112,22.0
Univ. of Illinois at Urbana-Champaign ,Heng Ji,nlp,100,23.6
Univ. of Illinois at Urbana-Champaign ,Alexander G. Schwing,"vision,ml",93,26.0
Univ. of Illinois at Urbana-Champaign ,Alexander G. Schwing,"vision,ml",93,26.0
Univ. of Illinois at Urbana-Champaign ,David A. Forsyth,vision,74,27.1
Univ. of Illinois at Urbana-Champaign ,ChengXiang Zhai,web+ir,66,22.7
Univ. of Illinois at Urbana-Champaign ,Bo Li 0026,ml,53,10.8
Univ. of Illinois at Urbana-Champaign ,Derek Hoiem,vision,51,16.0
Univ. of Illinois at Urbana-Champaign ,Svetlana Lazebnik,vision,48,15.9
Univ. of Illinois at Urbana-Champaign ,Arindam Banerjee 0001,ml,42,15.8
Univ. of Illinois at Urbana-Champaign ,Jimeng Sun,ai,40,8.7
Univ. of Illinois at Urbana-Champaign ,Han Zhao 0002,ml,33,8.8
Univ. of Illinois at Urbana-Champaign ,Hanghang Tong,"web+ir,ai",32,7.3
Univ. of Illinois at Urbana-Champaign ,Jian Peng 0001,ml,31,7.5
Univ. of Illinois at Urbana-Champaign ,Shenlong Wang,vision,31,6.7
Univ. of Illinois at Urbana-Champaign ,Oluwasanmi Koyejo,ml,29,7.9
Univ. of Illinois at Urbana-Champaign ,Yu-Xiong Wang,vision,29,8.8
Univ. of Illinois at Urbana-Champaign ,Saurabh Gupta 0001,vision,23,5.4
Univ. of Illinois at Urbana-Champaign ,Jingrui He,ai,22,6.7
Univ. of Illinois at Urbana-Champaign ,Nan Jiang 0008,ml,21,5.9
Univ. of Illinois at Urbana-Champaign ,Julia Hockenmaier,"nlp,vision",20,7.8
Univ. of Illinois at Urbana-Champaign ,Julia Hockenmaier,"nlp,vision",20,7.8
Univ. of Illinois at Urbana-Champaign ,Julia Hockenmaier,"nlp,vision",20,7.8
Univ. of Illinois at Urbana-Champaign ,Kevin Chen-Chuan Chang,"web+ir,db",16,3.5
Univ. of Illinois at Urbana-Champaign ,Matus Telgarsky,ml,16,7.8
Univ. of Illinois at Urbana-Champaign ,Mark Hasegawa-Johnson,ml,15,3.1
Univ. of Illinois at Urbana-Champaign ,Mark Hasegawa-Johnson,ml,15,3.1
Univ. of Illinois at Urbana-Champaign ,Roxana Girju,nlp,11,4.1
Univ. of Illinois at Urbana-Champaign ,Olgica Milenkovic,ml,11,4.0
Univ. of Illinois at Urbana-Champaign ,Lav R. Varshney,"ml,ai",9,2.1
Univ. of Illinois at Urbana-Champaign ,Lav R. Varshney,"ml,ai",9,2.1
Univ. of Illinois at Urbana-Champaign ,Gerald DeJong,ml,7,3.8
Univ. of Illinois at Urbana-Champaign ,Gagandeep Singh 0001,"pl,ml",6,1.3
Univ. of Illinois at Urbana-Champaign ,Gang Wang 0011,security,6,1.4
Univ. of Illinois at Urbana-Champaign ,Gang Wang 0011,security,6,1.4
Univ. of Illinois at Urbana-Champaign ,Kirill Levchenko,security,5,0.9
Univ. of Illinois at Urbana-Champaign ,Kirill Levchenko,security,5,0.9
Univ. of Illinois at Urbana-Champaign ,Ruta Mehta,"theory,ecom",5,1.5
Univ. of Illinois at Urbana-Champaign ,Paris Smaragdis,"ml,hci",5,1.8
Univ. of Illinois at Urbana-Champaign ,Sariel Har-Peled,theory,4,1.5
Univ. of Illinois at Urbana-Champaign ,Carl A. Gunter,security,3,0.4
Univ. of Illinois at Urbana-Champaign ,Carl A. Gunter,security,3,0.4
Univ. of Illinois at Urbana-Champaign ,Indranil Gupta,"ml,db",3,0.8
Univ. of Illinois at Urbana-Champaign ,Indranil Gupta,"ml,db",3,0.8
Univ. of Illinois at Urbana-Champaign ,Ravishankar K. Iyer,ml,3,0.6
Univ. of Illinois at Urbana-Champaign ,Daniel Kang,db,3,0.8
Univ. of Illinois at Urbana-Champaign ,Steven M. LaValle,robotics,3,1.3
Univ. of Illinois at Urbana-Champaign ,Adam Bates 0001,security,2,0.3
Univ. of Illinois at Urbana-Champaign ,Adam Bates 0001,security,2,0.3
Univ. of Illinois at Urbana-Champaign ,Timothy Bretl,robotics,2,0.7
Univ. of Illinois at Urbana-Champaign ,Deming Chen,eda,2,0.5
Univ. of Illinois at Urbana-Champaign ,Mani Golparvar Fard,vision,2,0.5
Univ. of Illinois at Urbana-Champaign ,Charith Mendis,"ml,arch,pl",2,0.5
Univ. of Illinois at Urbana-Champaign ,Andrew Miller 0001,security,1,0.1
Univ. of Illinois at Urbana-Champaign ,Andrew Miller 0001,security,1,0.1
Univ. of Illinois at Urbana-Champaign ,Nikita Borisov,security,1,0.1
Univ. of Illinois at Urbana-Champaign ,Nikita Borisov,security,1,0.1
Univ. of Illinois at Urbana-Champaign ,Brighten Godfrey,networks,1,0.2
Univ. of Illinois at Urbana-Champaign ,Saurabh Sinha,"eda,se",1,0.2
Univ. of Illinois at Urbana-Champaign ,Saurabh Sinha,"eda,se",1,0.2
Univ. of Illinois at Urbana-Champaign ,Shobha Vasudevan,eda,1,0.1
Univ. of Illinois at Urbana-Champaign ,Lingming Zhang,se,1,0.1
Chinese Academy of Sciences ,Xilin Chen 0001,vision,107,25.2
Chinese Academy of Sciences ,Shiguang Shan,vision,98,22.4
Chinese Academy of Sciences ,Xueqi Cheng,"ai,web+ir",82,15.9
Chinese Academy of Sciences ,Jun Zhao 0001,nlp,80,18.6
Chinese Academy of Sciences ,Tieniu Tan,"vision,ai",80,18.4
Chinese Academy of Sciences ,Tieniu Tan,"vision,ai",80,18.4
Chinese Academy of Sciences ,Yu Qiao 0001,vision,74,17.3
